Título;Gênero;Estreia;Idioma;Ativo;Status;dt_inclusao;Data de Alteração
The Punisher;Crime drama/conspiracy thriller;2017-11-17;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Narcos;Crime drama;2015-08-28;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Seven Seconds;Crime drama;2018-02-23;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Estocolmo;Crime drama;2016-11-11;Spanish;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
The Keepers;Crime drama;2017-05-19;English;0;Miniseries;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Cooking on High;Cooking show;2018-06-22;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
The Curious Creations of Christine McConnell;Cooking show;2018-10-12;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Everything Sucks!;Coming-of-age comedy;2018-02-16;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Santa Clarita Diet;Comedy-horror;2017-02-03;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Club de Cuervos;Comedy-drama;2015-08-07;Spanish;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Unbreakable Kimmy Schmidt;Comedy;2015-03-06;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Master of None;Comedy;2015-11-06;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Flaked;Comedy;2016-03-11;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Lady Dynamite;Comedy;2016-05-20;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Haters Back Off;Comedy;2016-10-14;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Girlboss;Comedy;2017-04-21;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Friends from College;Comedy;2017-07-14;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Disjointed;Comedy;2017-08-25;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
All About the Washingtons;Comedy;2018-08-10;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Project Mc2;Comedy;2016-08-07;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Best.Worst.Weekend.Ever.;Comedy;2018-10-19;English;0;Miniseries;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
My Only Love Song;Comedy;2017-06-09;Korean;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Club de Cuervos Presents: The Ballad of Hugo Sánchez;Comedy;2018-06-17;Spanish;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Russell Peters Vs. the World;Comedy;2013-10-03;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Chelsea Does;Comedy;2016-01-23;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
The Joel McHale Show with Joel McHale;Comedy;2018-02-18;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Chasing Cameron;Celebrity;2016-12-27;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
A Series of Unfortunate Events;Black-comedy mystery;2017-01-13;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Abstract: The Art of Design;Biography;2017-02-10;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
The Day I Met El Chapo;Biography;2017-10-20;English;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Blazing Transfer Students;Action comedy;2017-11-10;Japanese;0;Ended;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
